rank,rider,rider_no,team,time,gap
61,M. LE BERRE,136,ARKEA-B&B HOTELS,79h 26' 00'',+ 03h 25' 28''
62,J. STUYVEN,87,LIDL-TREK,79h 26' 43'',+ 03h 26' 11''
63,M. BURGAUDEAU,182,TOTALENERGIES,79h 26' 50'',+ 03h 26' 18''
64,M. HOELGAARD,225,UNO-X MOBILITY,79h 27' 01'',+ 03h 26' 29''
65,E. VERSTRYNGE,108,ALPECIN-DECEUNINCK,79h 28' 33'',+ 03h 28' 01''
66,J. BERCKMOES,212,LOTTO,79h 33' 44'',+ 03h 33' 12''
67,W. VAN AERT,17,TEAM VISMA | LEASE A BIKE,79h 34' 28'',+ 03h 33' 56''
68,M. SCHACHMANN,26,SOUDAL QUICK-STEP,79h 35' 33'',+ 03h 35' 01''
69,I. IZAGIRRE,164,COFIDIS,79h 35' 34'',+ 03h 35' 02''
70,T. FOSS,63,INEOS GRENADIERS,79h 35' 47'',+ 03h 35' 15''
71,J. ABRAHAMSEN,222,UNO-X MOBILITY,79h 36' 53'',+ 03h 36' 21''
72,M. VALGREN,37,EF EDUCATION - EASYPOST,79h 37' 33'',+ 03h 37' 01''
73,O. NAESEN,155,DECATHLON AG2R LA MONDIALE TEAM,79h 40' 00'',+ 03h 39' 28''
74,N. OLIVEIRA,144,MOVISTAR TEAM,79h 41' 35'',+ 03h 41' 03''
75,N. POLITT,4,UAE TEAM EMIRATES XRG,79h 45' 17'',+ 03h 44' 45''
76,A. JOHANNESSEN,226,UNO-X MOBILITY,79h 46' 34'',+ 03h 46' 02''
77,B. TRONCHON,158,DECATHLON AG2R LA MONDIALE TEAM,79h 47' 08'',+ 03h 46' 36''
78,M. HIRSCHI,114,TUDOR PRO CYCLING TEAM,79h 49' 09'',+ 03h 48' 37''
79,L. MARTINEZ,55,BAHRAIN VICTORIOUS,79h 49' 37'',+ 03h 49' 05''
80,M. TEUNISSEN,177,XDS ASTANA TEAM,79h 50' 00'',+ 03h 49' 28''
81,A. ARANBURU,162,COFIDIS,79h 50' 01'',+ 03h 49' 29''
82,L. BARRE,42,INTERMARCHÉ - WANTY,79h 52' 06'',+ 03h 51' 34''
83,M. MAYRHOFER,116,TUDOR PRO CYCLING TEAM,79h 53' 50'',+ 03h 53' 18''
84,B. VAN MOER,218,LOTTO,79h 53' 51'',+ 03h 53' 19''
85,C. CHAMPOUSSIN,174,XDS ASTANA TEAM,79h 53' 59'',+ 03h 53' 27''
86,K. GROVES,103,ALPECIN-DECEUNINCK,79h 54' 01'',+ 03h 53' 29''
87,P. SIVAKOV,5,UAE TEAM EMIRATES XRG,79h 54' 51'',+ 03h 54' 19''
